detector,seed,phase_definition,subset,unit,flight_class,phase,n,mean,median,p90,p95,p99
isolation_forest,0,primary,train,10,3,descent,53790,0.39370650049544653,0.37829021561056153,0.4628669454461009,0.49500666303012636,0.6084591883943468
isolation_forest,0,primary,train,16,3,climb,52689,0.3460168905442084,0.341769654736497,0.3655918406747728,0.37439930418393547,0.40703481263363755
isolation_forest,0,primary,train,16,3,cruise,84042,0.3463860739994769,0.3405112524259247,0.36371849381116017,0.3791403044300375,0.4483025039737285
isolation_forest,0,primary,train,16,3,descent,57888,0.3950827439608242,0.3763141027719188,0.4666375666731493,0.4998606297762829,0.6151733546553748
isolation_forest,0,primary,train,all,mixed,climb,209242,0.3429953453888539,0.3368173283400609,0.3658681146730746,0.3766369612552295,0.41355307178491935
isolation_forest,0,primary,train,all,mixed,cruise,331938,0.3446228618693815,0.3368666472201498,0.3662724079980821,0.3842373659496557,0.44618131064656064
isolation_forest,0,primary,train,all,mixed,descent,218902,0.395928701644804,0.3789385890721206,0.4672593346933062,0.5027463240365466,0.6213001340707387
isolation_forest,0,primary,calibration,18,3,climb,56332,0.35245906209787453,0.3495112366070452,0.3667109516323271,0.37611654784886717,0.43254623347585425
isolation_forest,0,primary,calibration,18,3,cruise,78219,0.3483965402837429,0.34028321244206955,0.3716529508177416,0.3920781528894916,0.4486053673375558
isolation_forest,0,primary,calibration,18,3,descent,58738,0.4022745969340977,0.38835579572292694,0.46715713506517975,0.5089308792567738,0.657023654992931
isolation_forest,0,primary,calibration,20,3,climb,53830,0.3503649864784312,0.34316679147881357,0.378781174581945,0.39526418850374634,0.4290318310341999
isolation_forest,0,primary,calibration,20,3,cruise,68886,0.35208159331497013,0.34319891080100406,0.3775708403851048,0.40760676776581706,0.48730588071567765
isolation_forest,0,primary,calibration,20,3,descent,70638,0.39976615396158827,0.3808958613861404,0.4701276193281664,0.505881756886564,0.6357436957945615
isolation_forest,0,primary,calibration,all,mixed,climb,110162,0.3514358046171222,0.3469535373789361,0.3710676262269976,0.38667830298813494,0.4297085036419447
isolation_forest,0,primary,calibration,all,mixed,cruise,147105,0.350122168665573,0.34167712419280405,0.37410009153140994,0.3982980316144273,0.46180230445739706
isolation_forest,0,primary,calibration,all,mixed,descent,129376,0.4009050121989682,0.3838201840835362,0.4686727126113104,0.5071227248025674,0.644876757026805
isolation_forest,0,primary,official_test,11,3,climb,53678,0.34229007131423494,0.3382345551406225,0.35902768508783023,0.36882036175828165,0.4120132244408052
isolation_forest,0,primary,official_test,11,3,cruise,86535,0.34649982605913754,0.3379614048115439,0.3702339590182762,0.38963257748260705,0.4596674469420547
isolation_forest,0,primary,official_test,11,3,descent,73093,0.3938133611702968,0.3764646480113471,0.46400001159329207,0.5044897093093468,0.659629718425208
