detector,seed,phase_definition,nominal_fpr,unit,flight_class,phase,healthy_flights,fraction_flights_with_false_alarm,events_per_healthy_flight,matched_fc
isolation_forest,1,primary,0.005,11,3,overall,18,1.0,19.055555555555557,True
isolation_forest,1,primary,0.005,14,1,climb,35,0.3142857142857143,0.3142857142857143,False
isolation_forest,1,primary,0.005,14,1,cruise,35,0.2857142857142857,1.5714285714285714,False
isolation_forest,1,primary,0.005,14,1,descent,35,0.5142857142857142,1.1428571428571428,False
isolation_forest,1,primary,0.005,14,1,overall,35,0.8857142857142857,3.0285714285714285,False
isolation_forest,1,primary,0.005,15,2,climb,23,0.13043478260869565,0.30434782608695654,False
isolation_forest,1,primary,0.005,15,2,cruise,23,0.21739130434782608,2.0,False
isolation_forest,1,primary,0.005,15,2,descent,23,0.6086956521739131,5.173913043478261,False
isolation_forest,1,primary,0.005,15,2,overall,23,0.6086956521739131,7.478260869565218,False
isolation_forest,1,primary,0.005,all,mixed,climb,76,0.2631578947368421,0.32894736842105265,False
isolation_forest,1,primary,0.005,all,mixed,cruise,76,0.3684210526315789,2.1447368421052633,False
isolation_forest,1,primary,0.005,all,mixed,descent,76,0.6578947368421053,5.697368421052632,False
isolation_forest,1,primary,0.005,all,mixed,overall,76,0.8289473684210527,8.171052631578947,False
isolation_forest,1,primary,0.01,11,3,climb,18,0.7222222222222222,0.9444444444444444,True
isolation_forest,1,primary,0.01,11,3,cruise,18,0.7222222222222222,4.888888888888889,True
isolation_forest,1,primary,0.01,11,3,descent,18,1.0,15.166666666666666,True
isolation_forest,1,primary,0.01,11,3,overall,18,1.0,21.0,True
isolation_forest,1,primary,0.01,14,1,climb,35,0.5428571428571428,0.7428571428571429,False
isolation_forest,1,primary,0.01,14,1,cruise,35,0.4,2.1142857142857143,False
isolation_forest,1,primary,0.01,14,1,descent,35,0.7142857142857143,4.714285714285714,False
isolation_forest,1,primary,0.01,14,1,overall,35,1.0,7.485714285714286,False
isolation_forest,1,primary,0.01,15,2,climb,23,0.6086956521739131,1.0434782608695652,False
isolation_forest,1,primary,0.01,15,2,cruise,23,0.30434782608695654,2.130434782608696,False
isolation_forest,1,primary,0.01,15,2,descent,23,0.9565217391304348,8.826086956521738,False
isolation_forest,1,primary,0.01,15,2,overall,23,0.9565217391304348,12.0,False
isolation_forest,1,primary,0.01,all,mixed,climb,76,0.6052631578947368,0.881578947368421,False
isolation_forest,1,primary,0.01,all,mixed,cruise,76,0.4473684210526316,2.776315789473684,False
isolation_forest,1,primary,0.01,all,mixed,descent,76,0.8552631578947368,8.43421052631579,False
isolation_forest,1,primary,0.01,all,mixed,overall,76,0.9868421052631579,12.052631578947368,False
isolation_forest,1,primary,0.02,11,3,climb,18,0.9444444444444444,1.3888888888888888,True
isolation_forest,1,primary,0.02,11,3,cruise,18,0.7777777777777778,6.777777777777778,True
isolation_forest,1,primary,0.02,11,3,descent,18,1.0,25.88888888888889,True
isolation_forest,1,primary,0.02,11,3,overall,18,1.0,34.05555555555556,True
isolation_forest,1,primary,0.02,14,1,climb,35,0.7714285714285715,1.6,False
isolation_forest,1,primary,0.02,14,1,cruise,35,0.45714285714285713,4.3428571428571425,False
isolation_forest,1,primary,0.02,14,1,descent,35,1.0,9.0,False
isolation_forest,1,primary,0.02,14,1,overall,35,1.0,14.685714285714285,False
isolation_forest,1,primary,0.02,15,2,climb,23,0.9130434782608695,1.565217391304348,False
isolation_forest,1,primary,0.02,15,2,cruise,23,0.391304347826087,2.9565217391304346,False
isolation_forest,1,primary,0.02,15,2,descent,23,1.0,21.043478260869566,False
isolation_forest,1,primary,0.02,15,2,overall,23,1.0,25.565217391304348,False
isolation_forest,1,primary,0.02,all,mixed,climb,76,0.8552631578947368,1.5394736842105263,False
isolation_forest,1,primary,0.02,all,mixed,cruise,76,0.5131578947368421,4.5,False
isolation_forest,1,primary,0.02,all,mixed,descent,76,1.0,16.644736842105264,False
