detector,seed,phase_definition,nominal_fpr,unit,cycle,flight_class,phase,rows,false_alarms,any_false_alarm,false_alarm_events,matched_fc
pca,-1,primary,0.005,15,20,2,climb,1256,0,0,0,False
pca,-1,primary,0.005,15,20,2,cruise,2569,0,0,0,False
pca,-1,primary,0.005,15,20,2,descent,2440,0,0,0,False
pca,-1,primary,0.005,15,21,2,overall,6381,16,1,8,False
pca,-1,primary,0.005,15,21,2,climb,1264,0,0,0,False
pca,-1,primary,0.005,15,21,2,cruise,2088,0,0,0,False
pca,-1,primary,0.005,15,21,2,descent,3029,16,1,8,False
pca,-1,primary,0.005,15,22,2,overall,5501,66,1,15,False
pca,-1,primary,0.005,15,22,2,climb,2343,1,1,1,False
pca,-1,primary,0.005,15,22,2,cruise,1857,0,0,0,False
pca,-1,primary,0.005,15,22,2,descent,1301,65,1,14,False
pca,-1,primary,0.005,15,23,2,overall,6887,7,1,5,False
pca,-1,primary,0.005,15,23,2,climb,1788,0,0,0,False
pca,-1,primary,0.005,15,23,2,cruise,3403,0,0,0,False
pca,-1,primary,0.005,15,23,2,descent,1696,7,1,5,False
pca,-1,primary,0.01,11,1,3,overall,11007,68,1,38,True
pca,-1,primary,0.01,11,1,3,climb,2506,0,0,0,True
pca,-1,primary,0.01,11,1,3,cruise,4386,22,1,15,True
pca,-1,primary,0.01,11,1,3,descent,4115,46,1,23,True
pca,-1,primary,0.01,11,2,3,overall,17636,343,1,75,True
pca,-1,primary,0.01,11,2,3,climb,3612,0,0,0,True
pca,-1,primary,0.01,11,2,3,cruise,10521,33,1,15,True
pca,-1,primary,0.01,11,2,3,descent,3503,310,1,60,True
pca,-1,primary,0.01,11,3,3,overall,9831,183,1,78,True
pca,-1,primary,0.01,11,3,3,climb,2031,0,0,0,True
pca,-1,primary,0.01,11,3,3,cruise,3448,21,1,11,True
pca,-1,primary,0.01,11,3,3,descent,4352,162,1,67,True
pca,-1,primary,0.01,11,4,3,overall,13140,98,1,32,True
pca,-1,primary,0.01,11,4,3,climb,2902,0,0,0,True
pca,-1,primary,0.01,11,4,3,cruise,7069,1,1,1,True
pca,-1,primary,0.01,11,4,3,descent,3169,97,1,31,True
pca,-1,primary,0.01,11,5,3,overall,13751,198,1,66,True
