detector,seed,phase_definition,nominal_fpr,phase,bootstrap_unit,repetitions,estimate,ci_lower_95,ci_upper_95
lstm_autoencoder,2,primary,0.01,cruise,flight,500,0.004729550461996332,0.0027810751615779143,0.0074041307019973475
lstm_autoencoder,2,primary,0.01,descent,flight,500,0.026002054789797762,0.01936339093596776,0.035337411092967945
lstm_autoencoder,2,primary,0.01,overall,flight,500,0.012211593741125295,0.009601242224081593,0.015535675599279734
lstm_autoencoder,2,primary,0.02,climb,flight,500,0.008674198835303553,0.007018267938570356,0.010886775835130568
lstm_autoencoder,2,primary,0.02,cruise,flight,500,0.007578816228125829,0.00457856120010486,0.011491831873854002
lstm_autoencoder,2,primary,0.02,descent,flight,500,0.06843553269391217,0.053004021830625074,0.08547942406989101
lstm_autoencoder,2,primary,0.02,overall,flight,500,0.028246670037611433,0.022708500014820783,0.034362962585373406
pca,-1,alt_rate,0.005,climb,flight,500,0.0004907276224246694,0.00010515568723132334,0.0010149587887998137
pca,-1,alt_rate,0.005,cruise,flight,500,0.0014523084728564181,0.0009874939885948211,0.0018655260452654482
pca,-1,alt_rate,0.005,descent,flight,500,0.013589107250653968,0.010854312376790774,0.016890824742183296
pca,-1,alt_rate,0.005,overall,flight,500,0.005349643164716829,0.0043118225955658274,0.006526646123021935
pca,-1,alt_rate,0.01,climb,flight,500,0.0013059686725817813,0.0003530403766992747,0.0024408296541210055
pca,-1,alt_rate,0.01,cruise,flight,500,0.0026953323186199897,0.001829654971938508,0.0036000357317808396
pca,-1,alt_rate,0.01,descent,flight,500,0.035629485545643574,0.028326739915229278,0.04474388198072195
pca,-1,alt_rate,0.01,overall,flight,500,0.013626928769166477,0.01096917506364303,0.017108891022144707
pca,-1,alt_rate,0.02,climb,flight,500,0.0042424194454777865,0.0018627731505079456,0.007123625908267828
pca,-1,alt_rate,0.02,cruise,flight,500,0.005853627600202943,0.003855677338711552,0.008257548616467124
pca,-1,alt_rate,0.02,descent,flight,500,0.06982359648534442,0.055302625379057946,0.08491266342804589
pca,-1,alt_rate,0.02,overall,flight,500,0.02740393384636342,0.02239115461892264,0.03355409202853174
pca,-1,primary,0.005,climb,flight,500,0.0004446071764828957,2.4563086314028887e-05,0.001052308464296645
pca,-1,primary,0.005,cruise,flight,500,0.0025493430539053397,0.001543009677971922,0.003622871425373808
pca,-1,primary,0.005,descent,flight,500,0.012576968426568845,0.009616815457242356,0.015857028172893098
pca,-1,primary,0.005,overall,flight,500,0.005349643164716829,0.004263775926232873,0.006516865129053787
pca,-1,primary,0.01,climb,flight,500,0.001246643651706943,0.00014092816575823582,0.0025669465541092364
pca,-1,primary,0.01,cruise,flight,500,0.0042796663936600955,0.0027624002619719853,0.00590181525361093
pca,-1,primary,0.01,descent,flight,500,0.03459355844084205,0.026655496335510755,0.04403081686351386
pca,-1,primary,0.01,overall,flight,500,0.013626928769166477,0.011032354096639559,0.016649366067914666
pca,-1,primary,0.02,climb,flight,500,0.003975311225023538,0.0018054792982337676,0.0071118536942190716
pca,-1,primary,0.02,cruise,flight,500,0.008766971588090762,0.006119915340612792,0.011686038469518706
pca,-1,primary,0.02,descent,flight,500,0.068214884125025,0.053194284950164074,0.0861550911399408
pca,-1,primary,0.02,overall,flight,500,0.02740393384636342,0.02233323351416962,0.03345478816963738
