detector,seed,phase_definition,nominal_fpr,unit,flight_class,phase,n,false_alarms,false_alarm_rate,threshold,matched_fc
isolation_forest,0,alt_rate,0.01,14,1,descent,27769,744,0.02679246641938853,0.565119723987118,False
isolation_forest,0,alt_rate,0.01,15,2,overall,147539,1390,0.009421237774418967,0.565119723987118,False
isolation_forest,0,alt_rate,0.01,15,2,climb,53843,96,0.0017829615734635887,0.565119723987118,False
isolation_forest,0,alt_rate,0.01,15,2,cruise,43303,43,0.000993002794263677,0.565119723987118,False
isolation_forest,0,alt_rate,0.01,15,2,descent,50393,1251,0.024824876470938423,0.565119723987118,False
isolation_forest,0,alt_rate,0.01,all,mixed,overall,433113,4692,0.010833200573522384,0.565119723987118,False
isolation_forest,0,alt_rate,0.01,all,mixed,climb,126343,349,0.002762321616551768,0.565119723987118,False
isolation_forest,0,alt_rate,0.01,all,mixed,cruise,157680,597,0.0037861491628614916,0.565119723987118,False
isolation_forest,0,alt_rate,0.01,all,mixed,descent,149090,3746,0.02512576296196928,0.565119723987118,False
isolation_forest,0,alt_rate,0.02,11,3,overall,213306,4170,0.0195493797642823,0.5073643629041794,True
isolation_forest,0,alt_rate,0.02,11,3,climb,58507,142,0.0024270600099133436,0.5073643629041794,True
isolation_forest,0,alt_rate,0.02,11,3,cruise,83871,258,0.0030761526630182067,0.5073643629041794,True
isolation_forest,0,alt_rate,0.02,11,3,descent,70928,3770,0.0531524926686217,0.5073643629041794,True
isolation_forest,0,alt_rate,0.02,14,1,overall,72268,4657,0.06444069297614435,0.5073643629041794,False
isolation_forest,0,alt_rate,0.02,14,1,climb,13993,503,0.03594654470092189,0.5073643629041794,False
isolation_forest,0,alt_rate,0.02,14,1,cruise,30506,633,0.02075001639021832,0.5073643629041794,False
isolation_forest,0,alt_rate,0.02,14,1,descent,27769,3521,0.12679606755734812,0.5073643629041794,False
isolation_forest,0,alt_rate,0.02,15,2,overall,147539,4306,0.02918550349399142,0.5073643629041794,False
isolation_forest,0,alt_rate,0.02,15,2,climb,53843,198,0.0036773582452686512,0.5073643629041794,False
isolation_forest,0,alt_rate,0.02,15,2,cruise,43303,96,0.002216936470914255,0.5073643629041794,False
isolation_forest,0,alt_rate,0.02,15,2,descent,50393,4012,0.07961423213541563,0.5073643629041794,False
isolation_forest,0,alt_rate,0.02,all,mixed,overall,433113,13133,0.03032234082098667,0.5073643629041794,False
isolation_forest,0,alt_rate,0.02,all,mixed,climb,126343,843,0.006672312672645101,0.5073643629041794,False
isolation_forest,0,alt_rate,0.02,all,mixed,cruise,157680,987,0.006259512937595129,0.5073643629041794,False
isolation_forest,0,alt_rate,0.02,all,mixed,descent,149090,11303,0.07581326715406801,0.5073643629041794,False
isolation_forest,1,primary,0.005,11,3,overall,213306,1219,0.005714794708071971,0.6309654301799236,True
