detector,phase_definition,subset,unit,cycle,flight_class,phase,rows,false_alarms,any_false_alarm,false_alarm_events
static,alt_rate,official_test,14,6,1,descent,1292,14,1,5
static,alt_rate,official_test,14,7,1,overall,1303,78,1,25
static,alt_rate,official_test,14,7,1,climb,96,9,1,1
static,alt_rate,official_test,14,7,1,cruise,1050,45,1,17
static,alt_rate,official_test,14,7,1,descent,157,24,1,7
static,alt_rate,official_test,14,8,1,overall,2551,22,1,7
static,alt_rate,official_test,14,8,1,climb,94,0,0,0
static,alt_rate,official_test,14,8,1,cruise,2339,10,1,2
static,alt_rate,official_test,14,8,1,descent,118,12,1,5
static,alt_rate,official_test,14,9,1,overall,1706,26,1,10
static,alt_rate,official_test,14,9,1,climb,33,0,0,0
static,alt_rate,official_test,14,9,1,cruise,59,0,0,0
static,alt_rate,official_test,14,9,1,descent,1614,26,1,10
static,alt_rate,official_test,14,10,1,overall,1706,26,1,10
static,alt_rate,official_test,14,10,1,climb,33,0,0,0
static,alt_rate,official_test,14,10,1,cruise,59,0,0,0
static,alt_rate,official_test,14,10,1,descent,1614,26,1,10
static,alt_rate,official_test,14,11,1,overall,2346,1,1,1
static,alt_rate,official_test,14,11,1,climb,539,0,0,0
static,alt_rate,official_test,14,11,1,cruise,891,1,1,1
static,alt_rate,official_test,14,11,1,descent,916,0,0,0
static,alt_rate,official_test,14,12,1,overall,2641,106,1,14
static,alt_rate,official_test,14,12,1,climb,1220,0,0,0
static,alt_rate,official_test,14,12,1,cruise,41,0,0,0
static,alt_rate,official_test,14,12,1,descent,1380,106,1,14
static,alt_rate,official_test,14,13,1,overall,1303,78,1,27
static,alt_rate,official_test,14,13,1,climb,96,9,1,1
static,alt_rate,official_test,14,13,1,cruise,1050,45,1,19
static,alt_rate,official_test,14,13,1,descent,157,24,1,7
static,alt_rate,official_test,14,14,1,overall,2629,14,1,8
static,alt_rate,official_test,14,14,1,climb,563,0,0,0
static,alt_rate,official_test,14,14,1,cruise,1152,6,1,5
static,alt_rate,official_test,14,14,1,descent,914,8,1,3
static,alt_rate,official_test,14,15,1,overall,1930,10,1,6
static,alt_rate,official_test,14,15,1,climb,545,0,0,0
static,alt_rate,official_test,14,15,1,cruise,661,3,1,3
static,alt_rate,official_test,14,15,1,descent,724,7,1,3
static,alt_rate,official_test,14,16,1,overall,1528,28,1,10
static,alt_rate,official_test,14,16,1,climb,495,0,0,0
static,alt_rate,official_test,14,16,1,cruise,475,3,1,2
static,alt_rate,official_test,14,16,1,descent,558,25,1,8
static,alt_rate,official_test,14,17,1,overall,2641,108,1,13
static,alt_rate,official_test,14,17,1,climb,1220,0,0,0
static,alt_rate,official_test,14,17,1,cruise,41,0,0,0
static,alt_rate,official_test,14,17,1,descent,1380,108,1,13
static,alt_rate,official_test,14,18,1,overall,2629,14,1,8
static,alt_rate,official_test,14,18,1,climb,563,0,0,0
static,alt_rate,official_test,14,18,1,cruise,1152,6,1,5
static,alt_rate,official_test,14,18,1,descent,914,8,1,3
static,alt_rate,official_test,14,19,1,overall,1706,26,1,10
static,alt_rate,official_test,14,19,1,climb,33,0,0,0
static,alt_rate,official_test,14,19,1,cruise,59,0,0,0
static,alt_rate,official_test,14,19,1,descent,1614,26,1,10
static,alt_rate,official_test,14,20,1,overall,2629,14,1,8
static,alt_rate,official_test,14,20,1,climb,563,0,0,0
static,alt_rate,official_test,14,20,1,cruise,1152,6,1,5
static,alt_rate,official_test,14,20,1,descent,914,8,1,3
static,alt_rate,official_test,14,21,1,overall,1706,26,1,10
static,alt_rate,official_test,14,21,1,climb,33,0,0,0
static,alt_rate,official_test,14,21,1,cruise,59,0,0,0
static,alt_rate,official_test,14,21,1,descent,1614,26,1,10
static,alt_rate,official_test,14,22,1,overall,1887,33,1,14
static,alt_rate,official_test,14,22,1,climb,262,6,1,1
static,alt_rate,official_test,14,22,1,cruise,1323,18,1,10
static,alt_rate,official_test,14,22,1,descent,302,9,1,3
static,alt_rate,official_test,14,23,1,overall,2629,14,1,8
static,alt_rate,official_test,14,23,1,climb,563,0,0,0
static,alt_rate,official_test,14,23,1,cruise,1152,6,1,5
static,alt_rate,official_test,14,23,1,descent,914,8,1,3
static,alt_rate,official_test,14,24,1,overall,2641,110,1,11
static,alt_rate,official_test,14,24,1,climb,1220,0,0,0
static,alt_rate,official_test,14,24,1,cruise,41,0,0,0
static,alt_rate,official_test,14,24,1,descent,1380,110,1,11
static,alt_rate,official_test,14,25,1,overall,2551,21,1,6
static,alt_rate,official_test,14,25,1,climb,94,0,0,0
static,alt_rate,official_test,14,25,1,cruise,2339,9,1,1
static,alt_rate,official_test,14,25,1,descent,118,12,1,5
static,alt_rate,official_test,14,26,1,overall,2034,41,1,11
static,alt_rate,official_test,14,26,1,climb,129,19,1,5
static,alt_rate,official_test,14,26,1,cruise,1107,11,1,1
static,alt_rate,official_test,14,26,1,descent,798,11,1,5
static,alt_rate,official_test,14,27,1,overall,1887,35,1,15
static,alt_rate,official_test,14,27,1,climb,262,7,1,1
static,alt_rate,official_test,14,27,1,cruise,1323,19,1,11
static,alt_rate,official_test,14,27,1,descent,302,9,1,3
static,alt_rate,official_test,14,28,1,overall,2629,14,1,8
static,alt_rate,official_test,14,28,1,climb,563,0,0,0
static,alt_rate,official_test,14,28,1,cruise,1152,6,1,5
static,alt_rate,official_test,14,28,1,descent,914,8,1,3
