detector,phase_definition,subset,unit,flight_class,phase,n,mean,median,p90,p95,p99
history,primary,train,5,3,climb,49075,0.013469601447584616,0.007122997578717373,0.02711792346226205,0.04692228121910615,0.10006461969761538
history,primary,train,5,3,cruise,86669,0.028153974531164333,0.01190911390747033,0.057599689507291225,0.07712790772174861,0.12133404368634523
history,primary,train,5,3,descent,52806,0.11912085534267078,0.03818958233389916,0.13962387535611234,0.3162138978615816,0.7983307576642946
history,primary,train,10,3,climb,50427,0.0143242164702569,0.0059163836563535565,0.031699775330592185,0.05240138769435537,0.14841121807692806
history,primary,train,10,3,cruise,83833,0.02544489661051212,0.008791596716000214,0.042606507455231035,0.07163235639132536,0.1374565881001216
history,primary,train,10,3,descent,53790,0.12385378576141098,0.04202685506416923,0.135661826200141,0.24025667360123046,0.7486818968782438
history,primary,train,16,3,climb,52689,0.017250704428853035,0.011737659714124812,0.03485429463945156,0.05071983321643935,0.10671588323633152
history,primary,train,16,3,cruise,84042,0.03662615007206753,0.015422611415931584,0.0593557615366391,0.08871749057361912,0.24613307309170576
history,primary,train,16,3,descent,57888,0.26210681953349246,0.04720126617939896,0.16177942903403736,0.3157873707508098,0.8233085584333153
history,primary,train,all,mixed,climb,209242,0.014824412950676677,0.008382852644319948,0.03136935934486238,0.04784892898795266,0.10456265937233868
history,primary,train,all,mixed,cruise,331938,0.033980801756627994,0.012288181283870523,0.05402828510825475,0.08094394776939563,0.1857398064410357
history,primary,train,all,mixed,descent,218902,0.16574793697735882,0.042703418159807105,0.14655211525255782,0.29547596922100683,0.8278062446115755
history,primary,calibration,18,3,climb,56332,0.01765371155966448,0.01148510323846065,0.03035483778218681,0.053857519189427196,0.12422272797234109
history,primary,calibration,18,3,cruise,78219,0.04145221511113366,0.013538524086315087,0.042203118646368686,0.07035380709359443,0.15048341472912102
history,primary,calibration,18,3,descent,58738,0.15689526142366408,0.04763343426641811,0.13130233752928325,0.2945365787051886,0.7793255582876035
history,primary,calibration,20,3,climb,53830,0.01924046821402063,0.011096261371635573,0.044265075598410544,0.0662062072855233,0.11609905127195465
history,primary,calibration,20,3,cruise,68886,0.08574613089040416,0.013783539403213457,0.06787599385429322,0.10472876493131217,0.28702648098550243
history,primary,calibration,20,3,descent,70638,2.3284991190095337,0.04926130123985825,0.1621299870849063,0.26500608613643234,0.8860478566315478
history,primary,calibration,all,mixed,climb,110162,0.018429070673551224,0.011350548335390391,0.03912234003032102,0.060966834274851354,0.11982802975163058
history,primary,calibration,all,mixed,cruise,147105,0.062194070808566294,0.013632538242354688,0.05570421820808836,0.08968017608979302,0.20799064789624033
history,primary,calibration,all,mixed,descent,129376,1.3425692140280938,0.04834923693564022,0.1502856779415812,0.27494023610283036,0.823163341293131
history,primary,official_test,11,3,climb,53678,0.014634431038586224,0.008485788114230251,0.02554279423359026,0.04675869506450037,0.10062312735603628
history,primary,official_test,11,3,cruise,86535,0.04394182092215281,0.01142706538027182,0.051578851004438216,0.08649945360596896,0.21749026898263032
history,primary,official_test,11,3,descent,73093,0.1357733588024818,0.03975738815634232,0.16151303300822847,0.31628475417906815,0.8976139703137674
history,primary,official_test,14,1,climb,12241,0.047225520361566915,0.029002449965777128,0.08633765671855316,0.13201732879448905,0.33946373649353473
history,primary,official_test,14,1,cruise,33377,0.05476572841692209,0.03704310797997612,0.10223396657982703,0.1469257862953309,0.35621312474391853
history,primary,official_test,14,1,descent,26650,0.14722692068662827,0.05213795232551728,0.22887151975724151,0.5017893001012285,0.806545995592421
history,primary,official_test,15,2,climb,48789,0.026273944595110288,0.017302943882125926,0.049738271263297565,0.06524454809249375,0.1342311135322852
history,primary,official_test,15,2,cruise,53466,0.04635429219749797,0.021316299184102223,0.050615029708350356,0.07127660008158208,0.1969098754052933
history,primary,official_test,15,2,descent,45284,3.3221250447617754,0.056648444730893005,0.2135964887223418,0.40602386164631993,0.8579101715605748
history,primary,official_test,all,mixed,climb,114708,0.023063030188705296,0.01285478273257307,0.04832252265254149,0.06813040077753832,0.14596511309007568
history,primary,official_test,all,mixed,cruise,173378,0.046769485041363544,0.01740871159137364,0.06579541472862661,0.09769432471659885,0.2521650845315306
history,primary,official_test,all,mixed,descent,145027,1.1328014099322241,0.04757356677174509,0.19055789914364882,0.36944185719902256,0.858304985654218
history,alt_rate,train,2,3,climb,62603,0.013702944364070144,0.008257980529016941,0.02958550972288093,0.04100081273126862,0.06981822036895395
history,alt_rate,train,2,3,cruise,68374,0.03623927271689415,0.013317257593932838,0.041441767428658814,0.06896950714311748,0.17967541371228343
history,alt_rate,train,2,3,descent,57886,0.15996026631473836,0.04308966676190368,0.1583718784459101,0.3307152679376678,1.1745393947820328
history,alt_rate,train,5,3,climb,53461,0.012921909792993768,0.0069632156440070075,0.025929944632920882,0.04439717238860432,0.09629318570503186
history,alt_rate,train,5,3,cruise,77061,0.020762352191689096,0.011677885573895024,0.049612014735442585,0.06381694614154264,0.10023767792038292
history,alt_rate,train,5,3,descent,58028,0.12236519534052143,0.040924076590969694,0.1361978319273497,0.30080394742955896,0.817601730360018
history,alt_rate,train,10,3,climb,53315,0.014001362132293567,0.005770826770065837,0.030658192021150738,0.05159133807213591,0.14076580768130253
history,alt_rate,train,10,3,cruise,76877,0.016538480507885412,0.008403299163083279,0.032254696239186365,0.05241955176075122,0.11516668739684968
history,alt_rate,train,10,3,descent,57858,0.12962136661331303,0.04397448513112123,0.13567276157854025,0.23934620930730685,0.7848406212063311
history,alt_rate,train,16,3,climb,53813,0.016985831935809437,0.011462647755005138,0.0342333742701456,0.05039791421303507,0.10770516203699329
