detector,phase_definition,subset,unit,flight_class,phase,n,mean,median,p90,p95,p99
condition_corrected_pca,alt_rate,calibration,20,3,climb,52201,0.014427417482138173,0.00872671538518771,0.028602910176006226,0.04088729264100225,0.08765287188342415
condition_corrected_pca,alt_rate,calibration,20,3,cruise,79401,0.028753140808462467,0.010733218745829791,0.06675859795001578,0.10034983004125668,0.17589601702613203
condition_corrected_pca,alt_rate,calibration,20,3,descent,61752,0.2718656723854165,0.04890625402994167,0.14430568937368177,0.24680573252583446,0.6238815883487377
condition_corrected_pca,alt_rate,calibration,all,mixed,climb,111359,0.012931517645498958,0.007498256073640406,0.02410416303915614,0.03724221817240441,0.10503669507083771
condition_corrected_pca,alt_rate,calibration,all,mixed,cruise,150784,0.024473375101879757,0.00931203645383849,0.043296373488243584,0.07968162569156366,0.1569305171600774
condition_corrected_pca,alt_rate,calibration,all,mixed,descent,124500,0.19745613988341448,0.04554872749155965,0.12974422370814395,0.23939273341104542,0.5794906984030183
condition_corrected_pca,alt_rate,official_test,11,3,climb,58507,0.01200276196338354,0.007679810603694512,0.019779647053429904,0.027680373487449367,0.0818999962494493
condition_corrected_pca,alt_rate,official_test,11,3,cruise,83871,0.027084133739022943,0.008735989874067786,0.036652393323725725,0.06266418241794228,0.1510683781877673
condition_corrected_pca,alt_rate,official_test,11,3,descent,70928,0.11901669611154603,0.04556942634625624,0.132613473550303,0.26341289868896955,0.5873113331586274
condition_corrected_pca,alt_rate,official_test,14,1,climb,13993,0.03183237005123995,0.01581419848641954,0.053795832340161,0.09845940948447479,0.31296514647894835
condition_corrected_pca,alt_rate,official_test,14,1,cruise,30506,0.04720588905185948,0.0298192386143257,0.06719025488791068,0.09988930889558979,0.39876839944452874
condition_corrected_pca,alt_rate,official_test,14,1,descent,27769,0.09094886533561397,0.052800067417620125,0.19769917257446815,0.3416520028751584,0.598470288014825
condition_corrected_pca,alt_rate,official_test,15,2,climb,53843,0.016548044873278833,0.009423230035033947,0.03302713521048968,0.04345189847122815,0.1212296304805787
condition_corrected_pca,alt_rate,official_test,15,2,cruise,43303,0.02521211025760072,0.017789720647113177,0.04043580587266569,0.05475369423929827,0.10297685326165155
condition_corrected_pca,alt_rate,official_test,15,2,descent,50393,0.11796923226330282,0.047750108176833436,0.1728774319460121,0.2923039079847748,0.5434046571051233
condition_corrected_pca,alt_rate,official_test,all,mixed,climb,126343,0.01613601330054402,0.00885182210776582,0.029642412539869722,0.04295175152080192,0.13893045286428232
condition_corrected_pca,alt_rate,official_test,all,mixed,cruise,157680,0.030462939134490757,0.014135738053377634,0.048036626781296145,0.06865964582023494,0.18343994619719695
condition_corrected_pca,alt_rate,official_test,all,mixed,descent,149090,0.11343482986618163,0.047925392723974405,0.15861246946608887,0.29210064626016696,0.5672591795808918
