detector,seed,phase_definition,nominal_fpr,unit,flight_class,phase,n,false_alarms,false_alarm_rate,threshold
isolation_forest,1,primary,0.005,14,1,climb,33331,54,0.0016201134079385556,0.5682296223434734
isolation_forest,1,primary,0.005,14,1,cruise,52432,295,0.005626335062557217,0.5682296223434734
isolation_forest,1,primary,0.005,14,1,descent,73818,299,0.004050502587444797,0.5682296223434734
isolation_forest,1,primary,0.005,15,2,overall,216930,1090,0.005024662333471627,0.5682296223434734
isolation_forest,1,primary,0.005,15,2,climb,64502,146,0.0022634957055595174,0.5682296223434734
isolation_forest,1,primary,0.005,15,2,cruise,61379,321,0.005229801723716581,0.5682296223434734
isolation_forest,1,primary,0.005,15,2,descent,91049,623,0.006842469439532559,0.5682296223434734
isolation_forest,1,primary,0.005,all,mixed,overall,1294679,8476,0.006546796541845507,0.5682296223434734
isolation_forest,1,primary,0.005,all,mixed,climb,326613,880,0.002694320189337228,0.5682296223434734
isolation_forest,1,primary,0.005,all,mixed,cruise,436402,2221,0.005089344228486579,0.5682296223434734
isolation_forest,1,primary,0.005,all,mixed,descent,531664,5375,0.010109768575641758,0.5682296223434734
isolation_forest,1,primary,0.01,10,3,overall,249848,4195,0.016790208446735615,0.5204284571884323
isolation_forest,1,primary,0.01,10,3,climb,63828,214,0.0033527605439618974,0.5204284571884323
isolation_forest,1,primary,0.01,10,3,cruise,95181,1115,0.011714522856452443,0.5204284571884323
isolation_forest,1,primary,0.01,10,3,descent,90839,2866,0.031550325300806925,0.5204284571884323
isolation_forest,1,primary,0.01,11,3,overall,261207,3598,0.013774515996891354,0.5204284571884323
isolation_forest,1,primary,0.01,11,3,climb,63479,195,0.0030718820397296746,0.5204284571884323
isolation_forest,1,primary,0.01,11,3,cruise,98352,1099,0.01117414999186595,0.5204284571884323
isolation_forest,1,primary,0.01,11,3,descent,99376,2304,0.023184672355498308,0.5204284571884323
isolation_forest,1,primary,0.01,12,1,overall,155440,1784,0.011477097272259392,0.5204284571884323
isolation_forest,1,primary,0.01,12,1,climb,35417,297,0.008385803427732446,0.5204284571884323
isolation_forest,1,primary,0.01,12,1,cruise,47845,263,0.005496917128226565,0.5204284571884323
isolation_forest,1,primary,0.01,12,1,descent,72178,1224,0.016958075867993017,0.5204284571884323
isolation_forest,1,primary,0.01,13,3,overall,251673,4115,0.016350581905885814,0.5204284571884323
isolation_forest,1,primary,0.01,13,3,climb,66056,277,0.004193411650720601,0.5204284571884323
isolation_forest,1,primary,0.01,13,3,cruise,81213,1119,0.013778582246684644,0.5204284571884323
isolation_forest,1,primary,0.01,13,3,descent,104404,2719,0.026043063484157695,0.5204284571884323
isolation_forest,1,primary,0.01,14,1,overall,159581,1385,0.008678978073830845,0.5204284571884323
isolation_forest,1,primary,0.01,14,1,climb,33331,92,0.0027601932135249466,0.5204284571884323
isolation_forest,1,primary,0.01,14,1,cruise,52432,477,0.009097497711321331,0.5204284571884323
isolation_forest,1,primary,0.01,14,1,descent,73818,816,0.011054214419247338,0.5204284571884323
isolation_forest,1,primary,0.01,15,2,overall,216930,2162,0.009966348591711612,0.5204284571884323
isolation_forest,1,primary,0.01,15,2,climb,64502,229,0.0035502775107748596,0.5204284571884323
isolation_forest,1,primary,0.01,15,2,cruise,61379,553,0.009009596115935417,0.5204284571884323
isolation_forest,1,primary,0.01,15,2,descent,91049,1380,0.015156673878900372,0.5204284571884323
isolation_forest,1,primary,0.01,all,mixed,overall,1294679,17239,0.013315269653713392,0.5204284571884323
isolation_forest,1,primary,0.01,all,mixed,climb,326613,1304,0.00399249264419971,0.5204284571884323
isolation_forest,1,primary,0.01,all,mixed,cruise,436402,4626,0.010600318055370966,0.5204284571884323
isolation_forest,1,primary,0.01,all,mixed,descent,531664,11309,0.02127095308315026,0.5204284571884323
isolation_forest,1,primary,0.02,10,3,overall,249848,7981,0.031943421600333005,0.4879323015508624
isolation_forest,1,primary,0.02,10,3,climb,63828,643,0.01007394873723131,0.4879323015508624
isolation_forest,1,primary,0.02,10,3,cruise,95181,1829,0.019216020003992394,0.4879323015508624
isolation_forest,1,primary,0.02,10,3,descent,90839,5509,0.06064575787932496,0.4879323015508624
isolation_forest,1,primary,0.02,11,3,overall,261207,6475,0.02478876906055351,0.4879323015508624
isolation_forest,1,primary,0.02,11,3,climb,63479,248,0.003906803824886971,0.4879323015508624
isolation_forest,1,primary,0.02,11,3,cruise,98352,1977,0.020101268911664225,0.4879323015508624
isolation_forest,1,primary,0.02,11,3,descent,99376,4250,0.042766865239091935,0.4879323015508624
isolation_forest,1,primary,0.02,12,1,overall,155440,3818,0.024562532166752443,0.4879323015508624
isolation_forest,1,primary,0.02,12,1,climb,35417,406,0.011463421520738629,0.4879323015508624
isolation_forest,1,primary,0.02,12,1,cruise,47845,580,0.012122478837914098,0.4879323015508624
isolation_forest,1,primary,0.02,12,1,descent,72178,2832,0.03923633240045443,0.4879323015508624
isolation_forest,1,primary,0.02,13,3,overall,251673,6492,0.025795377334875018,0.4879323015508624
isolation_forest,1,primary,0.02,13,3,climb,66056,493,0.007463364418069517,0.4879323015508624
isolation_forest,1,primary,0.02,13,3,cruise,81213,1776,0.02186842008052898,0.4879323015508624
isolation_forest,1,primary,0.02,13,3,descent,104404,4223,0.040448641814489865,0.4879323015508624
isolation_forest,1,primary,0.02,14,1,overall,159581,3331,0.020873412248325302,0.4879323015508624
isolation_forest,1,primary,0.02,14,1,climb,33331,132,0.003960277219405358,0.4879323015508624
isolation_forest,1,primary,0.02,14,1,cruise,52432,822,0.015677448886176382,0.4879323015508624
isolation_forest,1,primary,0.02,14,1,descent,73818,2377,0.032200818228616326,0.4879323015508624
isolation_forest,1,primary,0.02,15,2,overall,216930,3878,0.01787673443046144,0.4879323015508624
isolation_forest,1,primary,0.02,15,2,climb,64502,407,0.0063098818641282445,0.4879323015508624
isolation_forest,1,primary,0.02,15,2,cruise,61379,1021,0.01663435376920445,0.4879323015508624
isolation_forest,1,primary,0.02,15,2,descent,91049,2450,0.02690858768355501,0.4879323015508624
isolation_forest,1,primary,0.02,all,mixed,overall,1294679,31975,0.024697241555628847,0.4879323015508624
isolation_forest,1,primary,0.02,all,mixed,climb,326613,2329,0.007130763319280004,0.4879323015508624
isolation_forest,1,primary,0.02,all,mixed,cruise,436402,8005,0.018343178995513312,0.4879323015508624
isolation_forest,1,primary,0.02,all,mixed,descent,531664,21641,0.0407042793945048,0.4879323015508624
isolation_forest,2,primary,0.005,10,3,overall,249848,2139,0.008561205212769363,0.5649299824858709
isolation_forest,2,primary,0.005,10,3,climb,63828,143,0.0022403960644231374,0.5649299824858709
isolation_forest,2,primary,0.005,10,3,cruise,95181,618,0.006492892489047184,0.5649299824858709
isolation_forest,2,primary,0.005,10,3,descent,90839,1378,0.015169695835489163,0.5649299824858709
isolation_forest,2,primary,0.005,11,3,overall,261207,2004,0.007672076169474785,0.5649299824858709
isolation_forest,2,primary,0.005,11,3,climb,63479,133,0.0020951810835079317,0.5649299824858709
isolation_forest,2,primary,0.005,11,3,cruise,98352,588,0.005978526110297706,0.5649299824858709
isolation_forest,2,primary,0.005,11,3,descent,99376,1283,0.012910561906295283,0.5649299824858709
isolation_forest,2,primary,0.005,12,1,overall,155440,663,0.004265311374163664,0.5649299824858709
isolation_forest,2,primary,0.005,12,1,climb,35417,214,0.006042296072507553,0.5649299824858709
isolation_forest,2,primary,0.005,12,1,cruise,47845,113,0.002361793290834988,0.5649299824858709
isolation_forest,2,primary,0.005,12,1,descent,72178,336,0.004655158081409848,0.5649299824858709
isolation_forest,2,primary,0.005,13,3,overall,251673,2143,0.008515017502870788,0.5649299824858709
isolation_forest,2,primary,0.005,13,3,climb,66056,210,0.0031791207460336686,0.5649299824858709
isolation_forest,2,primary,0.005,13,3,cruise,81213,380,0.004679053846059129,0.5649299824858709
isolation_forest,2,primary,0.005,13,3,descent,104404,1553,0.014874909007317727,0.5649299824858709
isolation_forest,2,primary,0.005,14,1,overall,159581,640,0.0040105025034308595,0.5649299824858709
isolation_forest,2,primary,0.005,14,1,climb,33331,54,0.0016201134079385556,0.5649299824858709
isolation_forest,2,primary,0.005,14,1,cruise,52432,300,0.005721696673787,0.5649299824858709
isolation_forest,2,primary,0.005,14,1,descent,73818,286,0.003874393779295023,0.5649299824858709
isolation_forest,2,primary,0.005,15,2,overall,216930,1143,0.005268980777209238,0.5649299824858709
isolation_forest,2,primary,0.005,15,2,climb,64502,147,0.002278999100803076,0.5649299824858709
isolation_forest,2,primary,0.005,15,2,cruise,61379,350,0.005702276022743935,0.5649299824858709
isolation_forest,2,primary,0.005,15,2,descent,91049,646,0.007095080670847566,0.5649299824858709
isolation_forest,2,primary,0.005,all,mixed,overall,1294679,8732,0.006744528952736547,0.5649299824858709
isolation_forest,2,primary,0.005,all,mixed,climb,326613,901,0.002758616466582775,0.5649299824858709
isolation_forest,2,primary,0.005,all,mixed,cruise,436402,2349,0.005382651775198097,0.5649299824858709
isolation_forest,2,primary,0.005,all,mixed,descent,531664,5482,0.010311023503566162,0.5649299824858709
isolation_forest,2,primary,0.01,10,3,overall,249848,4435,0.017750792481828953,0.5197519841919032
isolation_forest,2,primary,0.01,10,3,climb,63828,248,0.003885442125712853,0.5197519841919032
isolation_forest,2,primary,0.01,10,3,cruise,95181,1251,0.013143379455983862,0.5197519841919032
isolation_forest,2,primary,0.01,10,3,descent,90839,2936,0.032320919428879664,0.5197519841919032
isolation_forest,2,primary,0.01,11,3,overall,261207,3657,0.014000390494894854,0.5197519841919032
isolation_forest,2,primary,0.01,11,3,climb,63479,188,0.0029616093511239936,0.5197519841919032
isolation_forest,2,primary,0.01,11,3,cruise,98352,1193,0.012129900764600618,0.5197519841919032
isolation_forest,2,primary,0.01,11,3,descent,99376,2276,0.02290291418451135,0.5197519841919032
isolation_forest,2,primary,0.01,12,1,overall,155440,1779,0.01144493051981472,0.5197519841919032
isolation_forest,2,primary,0.01,12,1,climb,35417,286,0.008075218115594206,0.5197519841919032
isolation_forest,2,primary,0.01,12,1,cruise,47845,274,0.0057268262096352805,0.5197519841919032
isolation_forest,2,primary,0.01,12,1,descent,72178,1219,0.01688880268225775,0.5197519841919032
isolation_forest,2,primary,0.01,13,3,overall,251673,4191,0.016652561061377264,0.5197519841919032
isolation_forest,2,primary,0.01,13,3,climb,66056,297,0.00449618505510476,0.5197519841919032
isolation_forest,2,primary,0.01,13,3,cruise,81213,1160,0.014283427530075235,0.5197519841919032
isolation_forest,2,primary,0.01,13,3,descent,104404,2734,0.026186736140377764,0.5197519841919032
