detector,seed,phase_definition,nominal_fpr,unit,flight_class,phase,healthy_flights,fraction_flights_with_false_alarm,events_per_healthy_flight
isolation_forest,2,primary,0.005,all,mixed,cruise,148,0.5878378378378378,5.033783783783784
isolation_forest,2,primary,0.005,all,mixed,descent,148,0.9797297297297297,12.08108108108108
isolation_forest,2,primary,0.005,all,mixed,overall,148,1.0,18.87837837837838
isolation_forest,2,primary,0.01,10,3,climb,17,0.6470588235294118,4.764705882352941
isolation_forest,2,primary,0.01,10,3,cruise,17,0.9411764705882353,12.294117647058824
isolation_forest,2,primary,0.01,10,3,descent,17,1.0,39.1764705882353
isolation_forest,2,primary,0.01,10,3,overall,17,1.0,56.11764705882353
isolation_forest,2,primary,0.01,11,3,climb,18,0.6666666666666666,1.7222222222222223
isolation_forest,2,primary,0.01,11,3,cruise,18,0.9444444444444444,13.88888888888889
isolation_forest,2,primary,0.01,11,3,descent,18,1.0,34.77777777777778
isolation_forest,2,primary,0.01,11,3,overall,18,1.0,50.333333333333336
isolation_forest,2,primary,0.01,12,1,climb,36,0.8611111111111112,1.4444444444444444
isolation_forest,2,primary,0.01,12,1,cruise,36,0.5,2.4444444444444446
isolation_forest,2,primary,0.01,12,1,descent,36,0.9722222222222222,12.972222222222221
isolation_forest,2,primary,0.01,12,1,overall,36,1.0,16.86111111111111
isolation_forest,2,primary,0.01,13,3,climb,18,0.7777777777777778,7.611111111111111
isolation_forest,2,primary,0.01,13,3,cruise,18,0.7777777777777778,10.5
isolation_forest,2,primary,0.01,13,3,descent,18,1.0,31.61111111111111
isolation_forest,2,primary,0.01,13,3,overall,18,1.0,49.611111111111114
isolation_forest,2,primary,0.01,14,1,climb,35,0.8,1.2
isolation_forest,2,primary,0.01,14,1,cruise,35,0.6,4.3428571428571425
isolation_forest,2,primary,0.01,14,1,descent,35,1.0,12.657142857142857
isolation_forest,2,primary,0.01,14,1,overall,35,1.0,18.2
isolation_forest,2,primary,0.01,15,2,climb,24,0.7916666666666666,3.0416666666666665
isolation_forest,2,primary,0.01,15,2,cruise,24,0.5,6.625
isolation_forest,2,primary,0.01,15,2,descent,24,1.0,16.416666666666668
isolation_forest,2,primary,0.01,15,2,overall,24,1.0,26.083333333333332
isolation_forest,2,primary,0.01,all,mixed,climb,148,0.777027027027027,2.810810810810811
isolation_forest,2,primary,0.01,all,mixed,cruise,148,0.6621621621621622,7.074324324324325
isolation_forest,2,primary,0.01,all,mixed,descent,148,0.9932432432432432,21.385135135135137
isolation_forest,2,primary,0.01,all,mixed,overall,148,1.0,31.236486486486488
isolation_forest,2,primary,0.02,10,3,climb,17,0.8823529411764706,10.764705882352942
isolation_forest,2,primary,0.02,10,3,cruise,17,0.9411764705882353,25.470588235294116
isolation_forest,2,primary,0.02,10,3,descent,17,1.0,71.17647058823529
isolation_forest,2,primary,0.02,10,3,overall,17,1.0,107.23529411764706
isolation_forest,2,primary,0.02,11,3,climb,18,0.8333333333333334,2.6666666666666665
isolation_forest,2,primary,0.02,11,3,cruise,18,1.0,24.61111111111111
isolation_forest,2,primary,0.02,11,3,descent,18,1.0,56.77777777777778
isolation_forest,2,primary,0.02,11,3,overall,18,1.0,84.0
isolation_forest,2,primary,0.02,12,1,climb,36,0.9444444444444444,2.5277777777777777
isolation_forest,2,primary,0.02,12,1,cruise,36,0.8055555555555556,4.416666666666667
isolation_forest,2,primary,0.02,12,1,descent,36,0.9722222222222222,25.63888888888889
isolation_forest,2,primary,0.02,12,1,overall,36,1.0,32.583333333333336
isolation_forest,2,primary,0.02,13,3,climb,18,0.8888888888888888,10.333333333333334
isolation_forest,2,primary,0.02,13,3,cruise,18,0.8888888888888888,13.0
isolation_forest,2,primary,0.02,13,3,descent,18,1.0,49.5
isolation_forest,2,primary,0.02,13,3,overall,18,1.0,72.66666666666667
isolation_forest,2,primary,0.02,14,1,climb,35,0.9428571428571428,1.6
isolation_forest,2,primary,0.02,14,1,cruise,35,0.6571428571428571,5.114285714285714
isolation_forest,2,primary,0.02,14,1,descent,35,1.0,26.97142857142857
isolation_forest,2,primary,0.02,14,1,overall,35,1.0,33.68571428571428
isolation_forest,2,primary,0.02,15,2,climb,24,0.9166666666666666,5.333333333333333
isolation_forest,2,primary,0.02,15,2,cruise,24,0.5416666666666666,9.666666666666666
isolation_forest,2,primary,0.02,15,2,descent,24,1.0,27.208333333333332
isolation_forest,2,primary,0.02,15,2,overall,24,1.0,42.208333333333336
isolation_forest,2,primary,0.02,all,mixed,climb,148,0.9121621621621622,4.675675675675675
isolation_forest,2,primary,0.02,all,mixed,cruise,148,0.777027027027027,11.35135135135135
isolation_forest,2,primary,0.02,all,mixed,descent,148,0.9932432432432432,38.12837837837838
isolation_forest,2,primary,0.02,all,mixed,overall,148,1.0,54.108108108108105
lstm_autoencoder,0,primary,0.005,10,3,climb,17,1.0,3.8823529411764706
lstm_autoencoder,0,primary,0.005,10,3,cruise,17,0.9411764705882353,9.588235294117647
lstm_autoencoder,0,primary,0.005,10,3,descent,17,1.0,19.176470588235293
lstm_autoencoder,0,primary,0.005,10,3,overall,17,1.0,32.588235294117645
lstm_autoencoder,0,primary,0.005,11,3,climb,18,1.0,2.2222222222222223
lstm_autoencoder,0,primary,0.005,11,3,cruise,18,0.9444444444444444,11.833333333333334
lstm_autoencoder,0,primary,0.005,11,3,descent,18,1.0,20.833333333333332
lstm_autoencoder,0,primary,0.005,11,3,overall,18,1.0,34.888888888888886
lstm_autoencoder,0,primary,0.005,12,1,climb,36,1.0,2.0
lstm_autoencoder,0,primary,0.005,12,1,cruise,36,0.6388888888888888,2.0555555555555554
lstm_autoencoder,0,primary,0.005,12,1,descent,36,0.9722222222222222,4.638888888888889
lstm_autoencoder,0,primary,0.005,12,1,overall,36,1.0,8.694444444444445
lstm_autoencoder,0,primary,0.005,13,3,climb,18,1.0,7.611111111111111
lstm_autoencoder,0,primary,0.005,13,3,cruise,18,0.8888888888888888,7.722222222222222
